,n,density,m,min deg,max deg,avg deg,nst1,nst2,hit rate,K,time
75,100,0.1,502,4,18,10.04,3139892819319346181858546200511432695761050842338905177881298166279995227911211887056786554880,2616975318536847703570030492617549097896620851503248888910207141645325868872774575197584883712,0.992,4948,4.782374143600464
76,110,0.09090909090909091,575,3,19,10.454545454545455,670058334476169209930354480190177369990004794379771410185161740168415104769680421984474649691044561551360,557120615873118508017142185477258360365235951340689685831569107559796659122321631188614635612372432060416,0.9945454545454545,3797,3.9191348552703857
77,120,0.08333333333333333,609,5,20,10.15,316996466251850175704425388449677122054004472608235188771861860486163712415220732634602793577356737875538912215040,253118869802108636267213689032455031485356406977400315731991030058660148204419263943633948857101579762375602470912,0.9949999999999999,29125,27.609104871749878
78,130,0.07692307692307693,673,4,18,10.353846153846154,22082094777661809753104674349567036601819262137910781990649006874899566614026162283340686601382629084491203423717163553259520,17774282524284965262035536414868876911608272922594083632431167205805493934054494996903892188659096287789506384778727373406208,0.9923076923076923,100000,97.9731330871582
79,140,0.07142857142857142,696,3,19,9.942857142857143,45030210187916591380229514927343937881484024668835918595837845020731046986780826225644231065775450743080482485611485694432477446144,35085111807533376979225777990363379458352697414374503857068843243985936584720190678492363937105522735024960800678346842075664744448,0.99,815,1.0434119701385498
80,30,0.3333333333333333,144,5,15,9.6,329406390082446106363428864,253085733238130367256330240,1.0,1364,0.4435286521911621
81,40,0.25,175,4,13,8.75,13961895794434995546800843254661120,10753963542643115565435587565453312,0.97,753,0.2751479148864746
82,50,0.2,234,5,14,9.36,696491078884985907880004022329261523642351616,536893407641845974308259673798874040599838720,0.992,1929,1.0128495693206787
83,60,0.16666666666666666,301,5,16,10.033333333333333,50749136686729000834674217683934028245900092034907111424,42432023419357327922865470042900685927088763146743054336,0.9866666666666667,1196,0.8261590003967285
84,70,0.14285714285714285,313,2,16,8.942857142857143,5546942822713020742842227199717443282421024344366548426686464,3311372461731643414006359572934337134972404513040051357089792,0.9800000000000001,44705,23.67112445831299
85,80,0.125,378,2,20,9.45,342153309984494418241123914614039744772742146771040214384531521205698560,269789269632923995365237053937610263206728481374545179719724814838005760,0.9774999999999998,6104,4.495785474777222
86,90,0.1111111111111111,507,3,21,11.266666666666667,18046222945691355727167930743453032708949695485701205483260034890572698146687755942363136,15742341716514081994437377348270208063849927857253857171463046826514043302708156771074048,0.9888888888888889,658,0.5359594821929932
87,100,0.1,499,4,18,9.98,1902721376069079535516609872505960035281872997023211369212459934837964139430741082402010955776,1592435889819632519774760569921512003432277344295490503883019649959846590875186655492174774272,0.99,10786,12.558786869049072
